Year,Month,Day,Interval,wind_apb1,wind_apb2,wind_apb3,wind_apb4,wind_apb5
2025,8,20,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,20,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,20,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,20,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,20,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,20,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,20,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,20,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,20,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,20,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,20,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,20,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,20,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,20,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,20,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,20,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,20,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,20,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,20,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,20,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,20,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,20,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,20,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,21,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,21,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,21,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,21,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,21,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,21,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,21,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,21,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,21,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,21,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,21,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,21,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,21,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,21,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,21,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,21,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,21,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,21,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,21,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,21,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,21,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,21,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,21,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,21,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,22,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,22,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,22,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,22,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,22,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,22,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,22,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,22,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,22,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,22,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,22,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,22,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,22,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,22,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,22,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,22,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,22,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,22,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,22,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,22,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,22,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,22,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,22,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,22,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,23,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,23,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,23,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,23,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,23,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,23,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,23,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,23,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,23,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,23,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,23,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,23,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,23,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,23,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,23,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,23,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,23,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,23,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,23,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,23,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,23,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,23,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,23,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,23,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,24,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,24,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,24,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,24,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,24,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,24,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,24,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,24,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,24,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,24,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,24,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,24,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,24,13,0,0,0.698470954,0.491926183,0.277795242
2025,8,24,14,0,0,0.615248304,0.555504029,0.316759506
2025,8,24,15,0,0,0.552161212,0.623816714,0.360968488
2025,8,24,16,0,0,0.498195572,0.679530058,0.377400957
2025,8,24,17,0,0,0.441139479,0.72935316,0.396411484
2025,8,24,18,0,0,0.404456814,0.723637434,0.40925141
2025,8,24,19,0,0,0.39180322,0.728153601,0.4328211
2025,8,24,20,0,0,0.362450738,0.69375188,0.440274147
2025,8,24,21,0,0,0.366878269,0.713539392,0.432251164
2025,8,24,22,0,0,0.365469706,0.713211577,0.424041323
2025,8,24,23,0,0,0.337451349,0.67502056,0.396905754
2025,8,24,24,0,0,0.327219827,0.639227234,0.388602514
2025,8,25,1,0,0,0.216422245,0.365640216,0.212674419
2025,8,25,2,0,0,0.229083303,0.272313845,0.167378188
2025,8,25,3,0,0,0.250230762,0.206101752,0.14392325
2025,8,25,4,0,0,0.307047775,0.175202708,0.141052036
2025,8,25,5,0,0,0.39708551,0.161684067,0.138915475
2025,8,25,6,0,0,0.506774794,0.170006154,0.122516901
2025,8,25,7,0,0,0.583065568,0.193679918,0.093908223
2025,8,25,8,0,0,0.626047072,0.192167676,0.061417696
2025,8,25,9,0,0,0.639104024,0.178965486,0.052977906
2025,8,25,10,0,0,0.653391948,0.191655703,0.068836292
2025,8,25,11,0,0,0.649245202,0.264254896,0.123669676
2025,8,25,12,0,0,0.690788863,0.392695376,0.20577502
2025,8,25,13,0,0,0.698470954,0.491926183,0.277795242
