Year-month,hydro_apb2,hydro_apb4,micro_hydro_apb1,micro_hydro_apb2,micro_hydro_apb3,micro_hydro_apb4,micro_hydro_apb5
203803,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203804,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203805,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203806,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203807,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203808,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203809,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203810,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203811,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203812,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
203901,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203902,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203903,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
203904,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
203905,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
203906,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
203907,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
203908,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203909,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
203910,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
203911,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
203912,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204001,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204002,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204003,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204004,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204005,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204006,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204007,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204008,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204009,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204010,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204011,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204012,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204101,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204102,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204103,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204104,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204105,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204106,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204107,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204108,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204109,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204110,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204111,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204112,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204201,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204202,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204203,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204204,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204205,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204206,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204207,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204208,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204209,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204210,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204211,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204212,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204301,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204302,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204303,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204304,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204305,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204306,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204307,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204308,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204309,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204310,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204311,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204312,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204401,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204402,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204403,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204404,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204405,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204406,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204407,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204408,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204409,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204410,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204411,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204412,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204501,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204502,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204503,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204504,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204505,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204506,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204507,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204508,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204509,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204510,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204511,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204512,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204601,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204602,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204603,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204604,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204605,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204606,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204607,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204608,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204609,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204610,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
204611,0.31,0.24,0.7736,0.7736,0.7736,0.7736,0.7736
204612,0.39,0.31,0.7736,0.7736,0.7736,0.7736,0.7736
204701,0.45,0.26,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204702,0.45,0.29,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204703,0.55,0.38,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001,0.9226000000000001
204704,0.55,0.36,0.5214,0.5214,0.5214,0.5214,0.5214
204705,0.38,0.28,0.5214,0.5214,0.5214,0.5214,0.5214
204706,0.3,0.23,0.5214,0.5214,0.5214,0.5214,0.5214
204707,0.26,0.19,0.3868,0.3868,0.3868,0.3868,0.3868
204708,0.24,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204709,0.23,0.17,0.3868,0.3868,0.3868,0.3868,0.3868
204710,0.25,0.21,0.7736,0.7736,0.7736,0.7736,0.7736
